City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
36,Jalu,LY,2022-11-30 21:20:38,29.0331,21.5482,59.59,40,0,7.72,clear sky
37,Klaksvik,FO,2022-11-30 21:20:38,62.2266,-6.589,49.12,94,100,32.23,light rain
38,Rikitea,PF,2022-11-30 21:20:38,-23.1203,-134.9692,72.72,71,92,12.86,overcast clouds
39,Vaini,TO,2022-11-30 21:20:39,-21.2,-175.2,82.56,78,75,4.61,broken clouds
40,Iasmos,GR,2022-11-30 21:20:39,41.1333,25.1833,45.25,87,100,15.7,overcast clouds
41,Nikolskoye,RU,2022-11-30 21:20:40,59.7035,30.7861,24.69,90,98,3.65,overcast clouds
42,Knysna,ZA,2022-11-30 21:20:40,-34.0363,23.0471,64.58,79,8,3.89,clear sky
43,Arraial Do Cabo,BR,2022-11-30 21:20:41,-22.9661,-42.0278,73.36,94,100,19.57,mist
44,Lappeenranta,FI,2022-11-30 21:20:41,61.0587,28.1887,26.78,93,100,1.14,overcast clouds
45,Marienburg,PL,2022-11-30 21:21:42,54.0359,19.0266,35.89,82,100,4.38,overcast clouds
46,Kattivakkam,IN,2022-11-30 21:21:42,13.2167,80.3167,78.89,86,17,7.56,few clouds
47,Kapaa,US,2022-11-30 21:20:18,22.0752,-159.319,82.72,78,0,14.97,clear sky
48,Tuktoyaktuk,CA,2022-11-30 21:20:44,69.4541,-133.0374,-0.4,85,100,10.36,light snow
49,Nelson Bay,AU,2022-11-30 21:21:44,-32.7167,152.15,68.0,78,100,5.99,moderate rain
50,Chokurdakh,RU,2022-11-30 21:21:44,70.6333,147.9167,-0.83,97,100,9.71,overcast clouds
51,Hithadhoo,MV,2022-11-30 21:21:45,-0.6,73.0833,80.76,74,69,6.64,broken clouds
52,Vardo,NO,2022-11-30 21:21:45,70.3705,31.1107,30.18,86,40,9.22,scattered clouds
53,Ambilobe,MG,2022-11-30 21:19:54,-13.2,49.05,76.32,83,97,1.43,light rain
54,Atuona,PF,2022-11-30 21:21:46,-9.8,-139.0333,77.9,74,54,16.15,broken clouds
55,Sembe,CG,2022-11-30 21:21:46,1.6481,14.5806,70.02,99,100,0.94,overcast clouds
56,Erenhot,CN,2022-11-30 21:21:47,43.6475,111.9767,2.52,69,44,10.04,scattered clouds
57,Hofn,IS,2022-11-30 21:21:48,64.2539,-15.2082,48.07,99,100,22.32,overcast clouds
58,Santa Maria,BR,2022-11-30 21:21:48,-29.6842,-53.8069,87.1,45,20,13.8,few clouds
59,Jiexiu,CN,2022-11-30 21:21:49,37.0244,111.9125,17.15,14,0,6.31,clear sky
60,Sao Filipe,CV,2022-11-30 21:21:49,14.8961,-24.4956,75.92,65,50,9.55,scattered clouds
61,Punta Arenas,CL,2022-11-30 21:18:57,-53.15,-70.9167,50.11,62,75,19.57,broken clouds
62,Saint-Philippe,RE,2022-11-30 21:21:50,-21.3585,55.7679,74.79,78,30,8.97,scattered clouds
63,Homer,US,2022-11-30 21:17:37,59.6425,-151.5483,25.03,63,0,4.61,clear sky
64,Fortuna,US,2022-11-30 21:21:51,40.5982,-124.1573,55.74,70,100,17.27,overcast clouds
65,Whitianga,NZ,2022-11-30 21:21:51,-36.8333,175.7,63.93,64,57,13.98,broken clouds
66,Aklavik,CA,2022-11-30 21:21:52,68.2191,-135.0107,1.4,78,100,3.44,light snow
67,Bazpur,IN,2022-11-30 21:21:52,29.15,79.1167,60.13,72,0,4.47,clear sky
68,Souris,CA,2022-11-30 21:21:53,49.6172,-100.2612,8.46,74,27,5.86,scattered clouds
69,San Patricio,US,2022-11-30 21:21:53,28.017,-97.5169,66.29,44,3,17.72,clear sky
70,Yellowknife,CA,2022-11-30 21:21:54,62.456,-114.3525,-13.45,76,40,3.44,scattered clouds
71,Camocim,BR,2022-11-30 21:21:54,-2.9022,-40.8411,80.46,75,88,14.63,moderate rain
72,Katsuura,JP,2022-11-30 21:21:55,35.1333,140.3,55.17,84,100,17.49,light rain
73,Alice Springs,AU,2022-11-30 21:21:21,-23.7,133.8833,58.55,58,0,0.0,clear sky
74,Okato,NZ,2022-11-30 21:21:56,-39.2,173.8833,62.91,100,33,13.76,scattered clouds
75,Khasan,RU,2022-11-30 21:21:57,42.4308,130.6434,15.89,50,57,18.03,broken clouds
76,Flin Flon,CA,2022-11-30 21:21:57,54.7682,-101.865,-7.76,59,75,8.05,broken clouds
77,Taldan,RU,2022-11-30 21:21:57,53.6667,124.8,-17.16,78,22,7.45,few clouds
78,Jawhar,SO,2022-11-30 21:21:58,2.7809,45.5005,76.68,75,72,11.9,broken clouds
79,Barrow,US,2022-11-30 21:21:58,71.2906,-156.7887,28.42,93,100,12.66,light snow
80,Maceio,BR,2022-11-30 21:21:59,-9.6658,-35.7353,78.24,83,20,5.75,few clouds
81,Hirara,JP,2022-11-30 21:22:00,24.8,125.2833,72.68,80,100,28.05,overcast clouds
82,Ancud,CL,2022-11-30 21:20:58,-41.8697,-73.8203,55.08,57,14,6.6,few clouds
83,Bethel,US,2022-11-30 21:22:01,41.3712,-73.414,57.56,84,100,4.0,moderate rain
84,Makkaveyevo,RU,2022-11-30 21:22:01,51.7533,113.9454,-1.39,77,80,12.84,broken clouds
85,Naruto,JP,2022-11-30 21:22:02,34.1833,134.6167,46.45,57,75,11.5,broken clouds
86,Alpena,US,2022-11-30 21:23:04,45.0617,-83.4327,30.18,79,100,15.01,overcast clouds
87,Yulara,AU,2022-11-30 21:23:04,-25.2406,130.9889,68.67,25,1,7.47,clear sky
88,Ketchikan,US,2022-11-30 21:21:51,55.3422,-131.6461,25.27,26,0,13.8,clear sky
89,Nicoya,CR,2022-11-30 21:23:05,10.1483,-85.452,77.77,82,100,8.05,overcast clouds
90,Xining,CN,2022-11-30 21:23:06,36.6167,101.7667,13.12,48,96,1.32,overcast clouds
91,East London,ZA,2022-11-30 21:23:07,-33.0153,27.9116,72.27,90,100,12.33,overcast clouds
92,Mokrous,RU,2022-11-30 21:23:07,51.2333,47.5167,19.96,80,5,6.64,clear sky
93,Musoma,TZ,2022-11-30 21:23:08,-1.5,33.8,70.32,75,100,4.68,overcast clouds
94,Batagay,RU,2022-11-30 21:23:08,67.6333,134.6333,-25.37,99,100,1.66,overcast clouds
95,Sawtell,AU,2022-11-30 21:23:09,-30.3833,153.1,60.82,94,100,6.91,light rain
96,Portobelo,PA,2022-11-30 21:23:09,9.55,-79.65,81.05,84,98,2.64,moderate rain
97,Palmer,US,2022-11-30 21:22:14,42.1584,-72.3287,56.34,84,100,19.57,moderate rain
98,Carnarvon,AU,2022-11-30 21:23:10,-24.8667,113.6333,68.74,82,3,15.41,clear sky
99,Leningradskiy,RU,2022-11-30 21:23:11,69.3833,178.4167,3.45,95,94,3.6,overcast clouds
100,Surt,LY,2022-11-30 21:23:11,31.2089,16.5887,63.41,47,0,12.55,clear sky
101,Taksimo,RU,2022-11-30 21:23:12,56.3444,114.8794,-14.78,94,100,0.4,overcast clouds
102,Avarua,CK,2022-11-30 21:23:12,-21.2078,-159.775,82.45,74,40,18.41,scattered clouds
103,Mount Gambier,AU,2022-11-30 21:23:13,-37.8333,140.7667,56.5,88,60,6.29,broken clouds
104,Hobart,AU,2022-11-30 21:19:25,-42.8794,147.3294,54.27,60,75,12.66,broken clouds
105,Cidreira,BR,2022-11-30 21:20:07,-30.1811,-50.2056,71.08,91,99,18.12,overcast clouds
106,Cabedelo,BR,2022-11-30 21:23:14,-6.9811,-34.8339,81.27,69,97,11.03,overcast clouds
107,Casablanca,MA,2022-11-30 21:23:15,33.5928,-7.6192,51.82,68,26,3.15,scattered clouds
108,Orotukan,RU,2022-11-30 21:23:16,62.2667,151.7,-21.24,100,100,3.78,overcast clouds
109,Yerbogachen,RU,2022-11-30 21:23:18,61.2767,108.0108,-4.07,97,100,7.07,overcast clouds
110,Polewali,ID,2022-11-30 21:23:18,-3.4324,119.3435,76.01,87,100,3.02,overcast clouds
111,Omboue,GA,2022-11-30 21:23:19,-1.5746,9.2618,77.14,89,100,5.84,overcast clouds
112,Lorengau,PG,2022-11-30 21:23:19,-2.0226,147.2712,81.77,77,97,4.25,overcast clouds
113,Patea,NZ,2022-11-30 21:23:20,-39.7583,174.4833,59.05,76,80,4.07,broken clouds
114,Upernavik,GL,2022-11-30 21:22:04,72.7868,-56.1549,7.77,90,100,17.18,overcast clouds
115,Bambous Virieux,MU,2022-11-30 21:23:21,-20.3428,57.7575,74.21,83,40,2.3,light rain
116,Chapais,CA,2022-11-30 21:23:22,49.7834,-74.8492,24.58,97,100,13.8,snow
117,Maracana,BR,2022-11-30 21:23:22,-0.7667,-47.45,77.67,80,100,2.82,overcast clouds
118,Merritt Island,US,2022-11-30 21:23:23,28.5392,-80.672,86.09,61,0,9.22,clear sky
119,Conceicao Do Araguaia,BR,2022-11-30 21:23:23,-8.2578,-49.2647,76.14,91,96,3.56,overcast clouds
120,Luderitz,NA,2022-11-30 21:23:24,-26.6481,15.1594,63.23,79,0,10.8,clear sky
121,Mvangue,CM,2022-11-30 21:23:25,2.9667,11.5167,70.3,88,69,2.51,light rain
